Rank,Title,Link,Points,Author,Age,Comments,Sentiment_TextBlob,Sentiment_VADER
59,"RedoxFS is the default filesystem of Redox OS, inspired by ZFS",https://doc.redox-os.org/book/redoxfs.html,185.0,doener,1 day ago,155 comments,Neutral,Positive
60,Targetting specific characters with CSS rules,https://shkspr.mobi/blog/2025/09/targetting-specific-characters-with-css-rules/,34.0,mtlynch,13 hours ago,5 comments,Neutral,Neutral
61,Endless AI-Generated Wikipedia,https://www.seangoedecke.com/endless-wiki/,22.0,Twixes,5 hours ago,16 comments,Negative,Neutral
62,"A history of ARM, part 1: Building the first chip (2022)",https://arstechnica.com/gadgets/2022/09/a-history-of-arm-part-1-building-the-first-chip/,110.0,ibobev,1 day ago,22 comments,Positive,Neutral
63,A recent chess controversy,https://www.chicagobooth.edu/review/did-us-chess-champion-cheat,77.0,indigodaddy,15 hours ago,117 comments,Neutral,Neutral
64,Game over for pure LLMs. Even Rich Sutton has gotten off the bus,https://garymarcus.substack.com/p/game-over-for-pure-llms-even-turing,60.0,zdw,8 hours ago,39 comments,Positive,Positive
65,Do YC after you graduate: Early decision for students,https://www.ycombinator.com/early-decision,211.0,snowmaker,2 days ago,265 comments,Positive,Neutral
66,GriffonAD: A new tool to exploit bad configurations in Active Directory,https://github.com/shellinvictus/GriffonAD,8.0,mikeharper,8 hours ago,discuss,Negative,Negative
67,YouTube Music is testing AI hosts that will interrupt your tunes,https://arstechnica.com/google/2025/09/youtube-music-is-testing-ai-hosts-that-will-interrupt-your-tunes/,23.0,jimt1234,6 hours ago,7 comments,Neutral,Negative
68,No reachable chess position with more than 218 moves,https://lichess.org/@/Tobs40/blog/there-is-no-reachable-chess-position-with-more-than-218-moves/a5xdxeqs,346.0,emporas,1 day ago,175 comments,Positive,Negative
69,Bit is all we need: binary normalized neural networks,https://arxiv.org/abs/2509.07025,92.0,PaulHoule,1 day ago,48 comments,Neutral,Neutral
70,Launch HN: Webhound (YC S23) – Research agent that builds datasets from the web,item?id=45373008,103.0,mfkhalil,1 day ago,69 comments,Neutral,Neutral
71,Can a model trained on satellite data really find brambles on the ground?,https://toao.com/blog/can-we-really-see-brambles-from-space,169.0,sadiq,1 day ago,53 comments,Positive,Neutral
72,"Many employees are using AI to create 'workslop,' Stanford study says",https://www.theregister.com/2025/09/26/ai_workslop_productivity/,20.0,Bender,4 hours ago,4 comments,Positive,Positive
73,Improved Gemini 2.5 Flash and Flash-Lite,https://developers.googleblog.com/en/continuing-to-bring-you-our-latest-models-with-an-improved-gemini-2-5-flash-and-flash-lite-release/,529.0,meetpateltech,1 day ago,269 comments,Neutral,Positive
74,Turning Billions of Strings into Integers Every Second Without Collisions,https://jazco.dev/2025/09/26/interning/,22.0,Bogdanp,14 hours ago,discuss,Neutral,Positive
75,Imagining a language without booleans,https://justinpombrio.net/2025/09/22/imagining-a-language-without-booleans.html,73.0,todsacerdoti,13 hours ago,72 comments,Neutral,Neutral
76,My Deus Ex lipsyncing fix mod,https://www.joewintergreen.com/my-deus-ex-lipsyncing-fix-mod-making-of/,264.0,jonny_eh,1 day ago,164 comments,Positive,Neutral
77,ChatGPT Pulse,https://openai.com/index/introducing-chatgpt-pulse/,604.0,meetpateltech,1 day ago,696 comments,Neutral,Neutral
78,Researchers are launching the first mushroom-powered waterless toilet,https://news.ubc.ca/2025/09/ubc-launches-worlds-first-mushroom-powered-waterless-toilet/,10.0,giuliomagnifico,11 hours ago,discuss,Positive,Neutral
79,Canadians are taking a big step back from the U.S. Here's the data to prove it,https://www.cbc.ca/news/politics/canada-big-step-back-from-us-data-1.7637651,23.0,breve,5 hours ago,6 comments,Neutral,Neutral
80,Wild performance tricks,https://davidlattimore.github.io/posts/2025/09/02/rustforge-wild-performance-tricks.html,130.0,tbillington,1 day ago,77 comments,Positive,Negative
81,The Theatre of Pull Requests and Code Review,https://meks.quest/blogs/the-theatre-of-pull-requests-and-code-review,246.0,todsacerdoti,1 day ago,397 comments,Neutral,Neutral
82,"The Wind, a Pole, and the Dragon",https://entropicthoughts.com/the-wind-a-pole-and-the-dragon,87.0,todsacerdoti,1 day ago,100 comments,Neutral,Neutral
83,Cloudflare Email Service: private beta,https://blog.cloudflare.com/email-service/,653.0,tosh,1 day ago,533 comments,Neutral,Neutral
84,"Reduce, Reuse, Don't Recycle",https://alearningaday.blog/2025/09/11/reduce-reuse-dont-recycle/,14.0,herbertl,5 hours ago,8 comments,Neutral,Neutral
85,Implementing a Kalman Filter in Postgres,https://neon.com/blog/implementing-a-kalman-filter-in-postgres-to-smooth-gps-data,12.0,carlotasoto,11 hours ago,discuss,Neutral,Neutral
86,Road to ZK Implementation: Nethermind Client's Path to Proofs,https://www.nethermind.io/blog/road-to-zk-implementation-nethermind-clients-path-to-proofs,43.0,benaadams,22 hours ago,8 comments,Neutral,Neutral
87,"ChatControl: EU wants to scan all private messages, even in encrypted apps",https://metalhearf.fr/posts/chatcontrol-wants-your-private-messages/,1051.0,Metalhearf,1 day ago,597 comments,Positive,Neutral
88,Illiteracy Is a Policy Choice,https://www.theargumentmag.com/p/illiteracy-is-a-policy-choice,105.0,themgt,1 day ago,10 comments,Neutral,Negative
89,Meta Set to Face EU Finding It Failed to Police Illegal Posts,https://www.bloomberg.com/news/articles/2025-09-25/meta-set-to-face-eu-finding-it-failed-to-police-illegal-posts,16.0,1vuio0pswjnm7,7 hours ago,discuss,Negative,Negative
90,Brutalita Sans: An Experimental Font and Font Editor,https://brutalita.com/,590.0,fibo,1 day ago,79 comments,Positive,Neutral
91,Demand for human radiologists is at an all-time high,https://www.worksinprogress.news/p/why-ai-isnt-replacing-radiologists,426.0,bensouthwood,1 day ago,442 comments,Positive,Negative
92,Show HN: FingerprinterJS – A tiny JavaScript library for browser fingerprints,https://github.com/Lorenzo-Coslado/fingerprinter-js,18.0,lococococo,12 hours ago,6 comments,Neutral,Neutral
93,Show HN: Vibe Linking,https://vb.lk/,134.0,michaelstewart,2 days ago,41 comments,Neutral,Neutral
94,Oral Bacterial and Fungal Microbiome and Subsequent Risk for Pancreatic Cancer,https://jamanetwork.com/journals/jamaoncology/fullarticle/2839132,5.0,bookofjoe,8 hours ago,discuss,Neutral,Negative
95,Athlon 64: How AMD turned the tables on Intel,https://dfarq.homeip.net/athlon-64-how-amd-turned-the-tables-on-intel/,324.0,giuliomagnifico,1 day ago,243 comments,Neutral,Neutral
96,Redox OS Development Priorities for 2025/26,https://www.redox-os.org/news/development-priorities-2025-09/,96.0,akyuu,1 day ago,24 comments,Neutral,Neutral
97,Ollama Web Search,https://ollama.com/blog/web-search,338.0,jmorgan,1 day ago,169 comments,Neutral,Neutral
98,Investigating a Forged PDF,https://mjg59.dreamwidth.org/73317.html,300.0,teddyh,1 day ago,46 comments,Neutral,Neutral
99,Raspberry Pi 500+,https://www.raspberrypi.com/news/the-ultimate-all-in-one-pc-raspberry-pi-500-plus-on-sale-now-at-200/,409.0,sohkamyung,1 day ago,288 comments,Neutral,Neutral
100,Writing Memory Safe JIT Compilers,https://medium.com/graalvm/writing-truly-memory-safe-jit-compilers-f79ad44558dd,71.0,sgammon,1 day ago,19 comments,Positive,Positive
101,Walking around the compiler,https://bernsteinbear.com/blog/walking-around/,47.0,chunkles,23 hours ago,11 comments,Neutral,Neutral
102,Review: The Russo-Ukrainian War,https://www.astralcodexten.com/p/your-review-the-russo-ukrainian-war,10.0,feross,5 hours ago,discuss,Neutral,Negative
103,A Look into Intel Xeon 6's Memory Subsystem,https://chipsandcheese.com/p/a-look-into-intel-xeon-6s-memory,7.0,rbanffy,12 hours ago,discuss,Neutral,Neutral
104,Creatine Monohydrate,https://domofutu.substack.com/p/creatine-monohydrate,17.0,domofutu,5 hours ago,8 comments,Neutral,Positive
105,Abu Dhabi royal family to take stake in TikTok US,https://www.theguardian.com/technology/2025/sep/26/iktok-abu-dhabi-royal-family-stake-trump-deal-mgx,88.0,andsoitis,17 hours ago,101 comments,Neutral,Neutral
106,Athlon 64: How AMD turned the tables on Intel,https://dfarq.homeip.net/athlon-64-how-amd-turned-the-tables-on-intel/,38.0,zdw,14 hours ago,1 comment,Neutral,Neutral
107,Find SF parking cops,https://walzr.com/sf-parking/,841.0,alazsengul,3 days ago,466 comments,Neutral,Neutral
108,Gunman Who Attacked Midtown Office Building Had CTE,https://www.nytimes.com/2025/09/26/us/cte-football-tamura-gunman.html,27.0,JumpCrisscross,10 hours ago,2 comments,Neutral,Negative
109,Reverse-Engineering the LCD Display Interface of the Nest 2nd Gen Thermostat,https://sett.homes/blogs/updates/the-lcd-display-reverse-engineering-the-display-interface,65.0,karagenit,1 day ago,22 comments,Neutral,Neutral
110,Today is Stanislav Petrov day,https://en.wikipedia.org/wiki/1983_Soviet_nuclear_false_alarm_incident,61.0,maxbond,14 hours ago,10 comments,Neutral,Neutral
111,Some interesting stuff I found on IX LANs,https://blog.benjojo.co.uk/post/ixp-bad-broadcast-packets-interesting,150.0,todsacerdoti,1 day ago,39 comments,Positive,Positive
112,"Why AI systems may never be secure, and what to do about it",https://www.economist.com/science-and-technology/2025/09/22/why-ai-systems-may-never-be-secure-and-what-to-do-about-it,16.0,loosescrews,13 hours ago,3 comments,Positive,Negative
113,Repurposing polyethylene terephthalate plastic waste to capture carbon dioxide,https://www.science.org/doi/10.1126/sciadv.adv5906,5.0,PaulHoule,13 hours ago,discuss,Negative,Negative
114,Data Viz Color Palette Generator (For Charts and Dashboards),https://www.learnui.design/tools/data-color-picker.html,128.0,gregwolanski,1 day ago,28 comments,Neutral,Neutral
115,"A GNOME developer now homeless in Nashville USA, needs place to stay",https://fosstodon.org/@halfmexican/115244303333681502,37.0,todsacerdoti,13 hours ago,1 comment,Neutral,Neutral
116,The Early Television Foundation and Museum,https://www.earlytelevision.org/index.html,22.0,Teever,15 hours ago,8 comments,Positive,Neutral
117,Supermicro server motherboards can be infected with unremovable malware,https://arstechnica.com/security/2025/09/supermicro-server-motherboards-can-be-infected-with-unremovable-malware/,12.0,transpute,5 hours ago,1 comment,Neutral,Negative
118,A story about hunting zombie tasks in a distributed environment,https://getbruin.com/blog/zombie-tasks/,19.0,karakanb,21 hours ago,3 comments,Neutral,Neutral
119,When hackathon judging is a public benchmark: my report from Hack the North,https://github.com/trycua/cua/blob/main/blog/hack-the-north.md,15.0,frabonacci,13 hours ago,3 comments,Neutral,Neutral
120,AI's Impact on the Job Market: Software Roles at Risk,https://spectrum.ieee.org/ai-impact-on-job-market,13.0,rbanffy,11 hours ago,discuss,Neutral,Negative
121,Video models are zero-shot learners and reasoners,https://video-zero-shot.github.io/,94.0,meetpateltech,1 day ago,17 comments,Neutral,Neutral
122,Gemini Robotics 1.5 brings AI agents into the physical world,https://deepmind.google/discover/blog/gemini-robotics-15-brings-ai-agents-into-the-physical-world/,66.0,meetpateltech,1 day ago,11 comments,Neutral,Neutral
123,IPv6 adoption just shy of 50%; 49.76% on 26th July,https://www.google.com/intl/en/ipv6/statistics.html#tab=ipv6-adoption,10.0,zeristor,6 hours ago,3 comments,Negative,Negative
124,Devious malware has jumped from Meta to Google Ads and YouTube to spread,https://www.techradar.com/pro/security/this-devious-malware-has-jumped-from-meta-over-to-google-ads-and-youtube-to-spread-heres-how-to-stay-safe,36.0,rolph,11 hours ago,9 comments,Neutral,Neutral
125,"Goodbye petrostates, hello 'electrostates': clean energy shift reshaping world",https://theconversation.com/goodbye-petrostates-hello-electrostates-how-the-clean-energy-shift-is-reshaping-the-world-order-264267,32.0,gnabgib,11 hours ago,discuss,Positive,Positive
126,Show HN: A little notebook for learning linear algebra with Python,https://little-book-of.github.io/linear-algebra/books/en-US/lab.html,178.0,tamnd,20 hours ago,43 comments,Negative,Neutral
127,OpenSTA: Open-source static timing analysis for FPGAs,https://www.zeroasic.com/blog/opensta-release,5.0,matt_d,9 hours ago,discuss,Positive,Neutral
128,Tracing JITs in the Real World CPython Core Dev Sprint,https://antocuni.eu/2025/09/24/tracing-jits-in-the-real-world--cpython-core-dev-sprint/,70.0,todsacerdoti,1 day ago,26 comments,Positive,Neutral
129,800 Years of English Handwriting,https://artsandculture.google.com/story/800-years-of-english-handwriting/eAURodcOgMzFIw,179.0,azeemba,2 days ago,32 comments,Neutral,Neutral
130,OpenBao on Kubernetes,https://nanibot.net/posts/vault/,4.0,nanibot,10 hours ago,discuss,Neutral,Neutral
131,Snapdragon X2 Elite ARM Laptop CPU,https://www.qualcomm.com/products/mobile/snapdragon/laptops-and-tablets/snapdragon-x2-elite,160.0,wmf,2 days ago,214 comments,Neutral,Neutral
132,Cosmic simulations that once needed supercomputers now run on a laptop,https://www.sciencedaily.com/releases/2025/09/250918225001.htm,163.0,leephillips,1 day ago,47 comments,Neutral,Neutral
133,Identity Types,https://bartoszmilewski.com/2025/09/22/identity-types/,49.0,matt_d,1 day ago,35 comments,Neutral,Neutral
134,Launch HN: Flywheel (YC S25) – Waymo for Excavators,item?id=45362914,100.0,jashmota,2 days ago,75 comments,Neutral,Neutral
135,Amazon fined $2.5B for using deceptive methods to sign up consumers for Prime,https://www.ftc.gov/news-events/news/press-releases/2025/09/ftc-secures-historic-25-billion-settlement-against-amazon,354.0,_p2zi,1 day ago,178 comments,Neutral,Positive
136,Huntington's disease treated for first time,https://www.bbc.com/news/articles/cevz13xkxpro,695.0,_zie,2 days ago,119 comments,Positive,Neutral
137,"Better health conversations: Research on a ""wayfinding"" AI agent based on Gemini",https://research.google/blog/towards-better-health-conversations-research-insights-on-a-wayfinding-ai-agent-based-on-gemini/,18.0,tmoertel,14 hours ago,2 comments,Positive,Positive
138,Terence Tao: The role of small organizations in society has shrunk significantly,https://mathstodon.xyz/@tao/115259943398316677,1035.0,bertman,2 days ago,541 comments,Positive,Neutral
139,Helium Browser,https://helium.computer/,594.0,spacebuffer,2 days ago,525 comments,Neutral,Neutral
140,Quicksort explained IKEA-style,https://idea-instructions.com/quick-sort/,676.0,foehrenwald,2 days ago,134 comments,Neutral,Neutral
141,Resurrect the Old Web,https://stevedylandev.bearblog.dev/resurrect-the-old-web/,274.0,speckx,1 day ago,250 comments,Positive,Neutral
142,NaN-Boxing in C,https://github.com/zuiderkwast/nanbox,4.0,klaussilveira,13 hours ago,discuss,Neutral,Neutral
143,"New Quasi-Moon Discovered Orbiting Earth, but It's Been Around for Decades",https://explorersweb.com/new-quasi-moon-discovered-orbiting-earth-but-its-been-around-for-decades/,50.0,fidotron,1 day ago,21 comments,Positive,Neutral
144,Process Tracing Projects,https://github.com/oils-for-unix/oils/wiki/Process-Tracing-Projects,9.0,todsacerdoti,13 hours ago,discuss,Neutral,Neutral
145,SonyShell – An effort to “SSH into my Sony DSLR”,https://github.com/goudvuur/sonyshell,177.0,beligum,2 days ago,108 comments,Neutral,Neutral
146,Effect Systems vs. Print Debugging: A Pragmatic Solution,https://blog.flix.dev/blog/effect-systems-vs-print-debugging/,84.0,degurechaff,1 day ago,46 comments,Neutral,Positive
147,"Implementing UI translation in SumatraPDF, a C++ Windows application",https://blog.kowalczyk.info/a-vn0v/implementing-ui-translation-in-sumatrapdf-a-c-windows-application.html,61.0,jandeboevrie,1 day ago,24 comments,Neutral,Neutral
148,Knotty: A domain-specific language for knitting patterns,https://t0mpr1c3.github.io/knotty/index.html,338.0,todsacerdoti,2 days ago,53 comments,Neutral,Neutral
149,'Biometric Exit' Quietly Expands Across U.S. Airports,https://www.nytimes.com/2025/09/26/travel/airports-biometric-exit-program.html,7.0,1659447091,5 hours ago,discuss,Neutral,Positive
150,Bell Labs Scientists Accidentally Proved the Big Bang Theory,https://spectrum.ieee.org/big-bang-theory-discovery,35.0,sohkamyung,7 hours ago,21 comments,Neutral,Negative
